city,display_name,source_gpkg,bbox,center_lon,center_lat,start_zoom,pmtiles_file,pmtiles_mb,viewer_file,exclusion_file
arlington,Arlington,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Arlington\arlington_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.233874,32.586727,-97.037241,32.816714",-97.135557,32.70172,10.09,arlington_effect_parcels_20260709_effects_v1.pmtiles,9.71,arlington_effect_exclusions_20260709_effects_v1.html,arlington_exclusion_zones.geojson
austin,Austin,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Austin\austin_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.936785,30.098745,-97.560539,30.457444",-97.748662,30.278095,9.15,austin_effect_parcels_20260709_effects_v1.pmtiles,21.62,austin_effect_exclusions_20260709_effects_v1.html,austin_exclusion_zones.geojson
brownsville,Brownsville,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Brownsville\brownsville_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.646927,25.840284,-97.273508,26.215871",-97.460218,26.028078,9.16,brownsville_effect_parcels_20260709_effects_v1.pmtiles,4.73,brownsville_effect_exclusions_20260709_effects_v1.html,brownsville_exclusion_zones.geojson
corpus_christi,Corpus Christi,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Corpus_Christi\corpus_christi_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.753476,27.493588,-97.011132,27.927315",-97.382304,27.710452,8.17,corpus_christi_effect_parcels_20260709_effects_v1.pmtiles,10.6,corpus_christi_effect_exclusions_20260709_effects_v1.html,corpus_christi_exclusion_zones.geojson
dallas,Dallas,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Dallas\dallas_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.000496,32.613333,-96.463679,33.023821",-96.732088,32.818577,8.64,dallas_effect_parcels_20260709_effects_v1.pmtiles,25.34,dallas_effect_exclusions_20260709_effects_v1.html,dallas_exclusion_zones.geojson
denton,Denton,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Denton\denton_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.266435,33.117510,-97.024049,33.358041",-97.145242,33.237776,9.79,denton_effect_parcels_20260709_effects_v1.pmtiles,4.35,denton_effect_exclusions_20260709_effects_v1.html,denton_exclusion_zones.geojson
el_paso,El Paso,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\El_Paso\el_paso_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-106.636064,31.622649,-106.199148,32.001448",-106.417606,31.812049,8.94,el_paso_effect_parcels_20260709_effects_v1.pmtiles,17.85,el_paso_effect_exclusions_20260709_effects_v1.html,el_paso_exclusion_zones.geojson
fort_worth,Fort Worth,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Fort_Worth\fort_worth_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.599953,32.550595,-97.033879,33.049169",-97.316916,32.799882,8.56,fort_worth_effect_parcels_20260709_effects_v1.pmtiles,25.46,fort_worth_effect_exclusions_20260709_effects_v1.html,fort_worth_exclusion_zones.geojson
frisco,Frisco,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Frisco\frisco_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-96.922750,33.081610,-96.732733,33.219153",-96.827742,33.150381,10.14,frisco_effect_parcels_20260709_effects_v1.pmtiles,7.43,frisco_effect_exclusions_20260709_effects_v1.html,frisco_exclusion_zones.geojson
garland,Garland,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Garland\garland_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-96.705778,32.830067,-96.530074,32.985205",-96.617926,32.907636,10.25,garland_effect_parcels_20260709_effects_v1.pmtiles,5.89,garland_effect_exclusions_20260709_effects_v1.html,garland_exclusion_zones.geojson
grand_prairie,Grand Prairie,C:\Users\seancrotty\Box\tx_housing_box\analysis_outputs\Grand_Prairie\grand_prairie_840_effects_no_exclusions_conversion_index_20260515_subjective_v1.gpkg,"-97.087829,32.452400,-96.924353,32.816460",-97.006091,32.63443,10.35,grand_prairie_effect_parcels_20260709_effects_v1.pmtiles,6.77,grand_prairie_effect_exclusions_20260709_effects_v1.html,grand_prairie_exclusion_zones.geojson
